2018-03-21 03:08:11 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 03:08:11 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 03:08:11 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 03:08:11 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 03:08:11 INFO  LibraryMan:40 - Метод сортировки библиотеки класс libraryMan
2018-03-21 03:08:11 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 03:08:11 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 03:08:11 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 03:08:12 INFO  Main:107 - Program is end!
2018-03-21 03:08:47 INFO  Main:40 - Starting program_____________________________
2018-03-21 03:08:47 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 03:08:47 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 03:08:47 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 03:08:47 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 03:08:47 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 03:08:47 INFO  LibraryMan:40 - Метод сортировки библиотеки класс libraryMan
2018-03-21 03:08:47 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 03:08:47 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 03:08:47 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 03:09:38 INFO  Main:40 - Starting program_____________________________
2018-03-21 03:09:38 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 03:09:38 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 03:09:38 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 03:09:38 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 03:09:38 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 03:09:38 INFO  LibraryMan:40 - Метод сортировки библиотеки класс libraryMan
2018-03-21 03:09:38 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 03:09:38 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 03:09:38 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 03:09:40 INFO  Main:107 - Program is end!
